term_id,lang,term,reltype,related_term_id,related_lang,related_term,position,group_tag,parent_tag,parent_position
YYtpkfa2VayzZM4_2sUz3A,English,Monday,inherited_from,rKE-FQMpWCqxxm3gGSJItw,Proto-West Germanic,*mānini dag,0,,s-XUbnOdTdyy0tQP7EPClg,1.0
r5ezyWaZV9GFphc3G3wECw,English,Wednesday,inherited_from,Zi66Xk8LWM-HtC30oYYmgQ,Middle English,Wednesday,0,,UjIhiY_4S92PqoY1iV5D4A,0.0
r5ezyWaZV9GFphc3G3wECw,English,Wednesday,inherited_from,u9kTsM3wXhyj32e3o2oj1Q,Old English,wōdnesdæġ,0,,_Penbiw3TQKXKoinMMJyFg,0.0
r5ezyWaZV9GFphc3G3wECw,English,Wednesday,inherited_from,RM2zI8mgVjCOMbiodZ02YQ,Proto-West Germanic,*Wōdanas dag,0,,_Penbiw3TQKXKoinMMJyFg,1.0
5puLAcP1X4SWQxSQZVqQwQ,English,Thursday,inherited_from,IXo5zDieW7qQtfdDKwYLgQ,Middle English,Thursday,0,,C6rJL_SAT5SCNtktkHaVpA,0.0
5puLAcP1X4SWQxSQZVqQwQ,English,Thursday,inherited_from,Zk6e_sWQVVirXU64W_vZtA,Old English,þursdæġ,0,,kcq9NgvRR_yjD6Y-7X1k1g,0.0
8CeG-RupW5uBOt6SJyC6-w,English,Saturday,inherited_from,plGr-lX-WeeQ-UpQWqTHBA,Middle English,Saterday,0,,mOIRjFBFQNuVKvAyY2tsqQ,1.0
8CeG-RupW5uBOt6SJyC6-w,English,Saturday,inherited_from,Gv2La4G8UMa9ByIxbzENCg,Old English,sæterdæg,0,,mOIRjFBFQNuVKvAyY2tsqQ,2.0
8CeG-RupW5uBOt6SJyC6-w,English,Saturday,inherited_from,pM_QCI6fVaeei3xdN5aVtw,Proto-West Germanic,*Sāturnas dag,0,,L3JKJZqmQFypXSo8BJrjCg,1.0
jAx1Umg1X-Kx7Qgf-T2Uvg,English,Friday,inherited_from,j6v8nTR5Ucyad62kyTixMQ,Middle English,Friday,0,,YTcrg9YIS_ipVy9BhHc92g,1.0
jAx1Umg1X-Kx7Qgf-T2Uvg,English,Friday,inherited_from,2DFraUFhUVGCtLZYxSOSNw,Old English,frīġedæġ,0,,YTcrg9YIS_ipVy9BhHc92g,2.0
jAx1Umg1X-Kx7Qgf-T2Uvg,English,Friday,inherited_from,cQ16QSz-UT-PfXmM5Us5LA,Proto-West Germanic,*Frījā dag,0,,8pylKr8_Q-eBlEYQzL1Wog,1.0
dEj8_Q59VdW9Y1_ckjTPbA,English,Sunday,inherited_from,xmzwbb1IXtCkUgkgjXlvTg,Middle English,Sonday,0,,7RmOeS38QHqrGDPVT0qFlA,1.0
dEj8_Q59VdW9Y1_ckjTPbA,English,Sunday,inherited_from,yK36e-JCWzuGHSIglZ5RZQ,Old English,sunnandæġ,0,,7RmOeS38QHqrGDPVT0qFlA,2.0
dEj8_Q59VdW9Y1_ckjTPbA,English,Sunday,inherited_from,VNbunMPcVoOTZk9tdZhotg,Proto-West Germanic,*sunnōn dag,0,,lR8t4NJ4RmCOgVkqo3LHEQ,1.0
CbfsUwq6VbGdiK7nUHJnMw,English,etymology,inherited_from,UqDLyGqQUNSYy4tjBasZuQ,Middle English,ethymologie,0,,ZRa8I_ntQzyoFdOuUYKs0Q,0.0
XvbXhwA8UqeqA1IOGrnKLg,English,noun,inherited_from,LD5jPbTDWsWGUnVho3iLXQ,Middle English,noun,0,,NjqAKZomTUelLiYRmN1m1g,0.0
